processor_name,passmark,rank,value,price
AMD Athlon 64 FX-57,730,2359,,
AMD Athlon 64 FX-59,715,2366,,
AMD Athlon 64 FX-60 Dual Core,1282,2052,,
AMD Athlon 64 FX-62 Dual Core,1573,1909,,
AMD Athlon 64 FX-72,1794,1789,,
AMD Athlon 64 FX-74,1495,1948,2.99,$499.50*
AMD Athlon 64 X2 3800+,958,2246,,
AMD Athlon 64 X2 4200+,1285,2050,4.16,$308.95*
AMD Athlon 64 X2 Dual Core 3400+,994,2219,,
AMD Athlon 64 X2 Dual Core 3600+,962,2240,16.05,$60.00*
AMD Athlon 64 X2 Dual Core 3800+,999,2213,,
AMD Athlon 64 X2 Dual Core 4000+,1043,2187,,
AMD Athlon 64 X2 Dual Core 4200+,1098,2155,6.87,$159.95
AMD Athlon 64 X2 Dual Core 4400+,1146,2134,19.1,$60.00
AMD Athlon 64 X2 Dual Core 4600+,1219,2087,3.39,$359.95*
AMD Athlon 64 X2 Dual Core 4800+,1253,2068,2.73,$459.95*
AMD Athlon 64 X2 Dual Core 5000+,1313,2028,3.96,$331.49*
AMD Athlon 64 X2 Dual Core 5200+,1381,1993,9.87,$139.95
AMD Athlon 64 X2 Dual Core 5400+,1448,1964,27.34,$52.99*
AMD Athlon 64 X2 Dual Core 5600+,1485,1951,10.62,$139.95
AMD Athlon 64 X2 Dual Core 5800+,1516,1935,60.68,$24.99*
AMD Athlon 64 X2 Dual Core 6000+,1603,1896,34.89,$45.95
AMD Athlon 64 X2 Dual Core 6400+,1791,1791,6.89,$259.95*
AMD Athlon 64 X2 Dual Core BE-230,1095,2159,,
AMD Athlon 64 X2 Dual Core BE-2300,1082,2168,,
AMD Athlon 64 X2 Dual Core BE-2350,1044,2185,,
AMD Athlon 64 X2 Dual Core TK-53,839,2311,28.02,$29.97*
AMD Athlon 64 X2 Dual Core TK-55,839,2312,14.53,$57.74*
AMD Athlon 64 X2 Dual Core TK-57,971,2234,,
AMD Athlon 64 X2 Dual-Core TK-42,877,2290,,
AMD Athlon 64 X2 Dual-Core TK-53,816,2321,,
AMD Athlon 64 X2 Dual-Core TK-55,874,2293,12.02,$72.74*
AMD Athlon 64 X2 Dual-Core TK-57,925,2266,,
AMD Athlon 64 X2 QL-60,922,2272,,
AMD Athlon 64 X2 QL-62,1005,2208,,
AMD Athlon 64 X2 QL-64,992,2223,,
AMD Athlon 64 X2 QL-65,1050,2183,,
AMD Athlon 64 X2 QL-66,947,2254,,
AMD Athlon 64 X2 QL-67,1006,2207,,
AMD Athlon 64 X2 TK-55,955,2247,,
AMD Athlon 64 X2 TK-57,988,2225,,
AMD Athlon 7450 Dual-Core,1448,1965,,
AMD Athlon 7550 Dual-Core,1470,1955,24.52,$60.00
AMD Athlon 7750 Dual-Core,1569,1911,8.86,$177.17
AMD Athlon 7850 Dual-Core,1713,1828,8.17,$209.65*
AMD Athlon 7850 Dual-Core 2.8G,288,2730,,
AMD Athlon Dual Core 4050e,1086,2164,,
AMD Athlon Dual Core 4450B,1166,2120,37.63,$31.00*
AMD Athlon Dual Core 4450e,1107,2152,,
AMD Athlon Dual Core 4850B,1391,1986,,
AMD Athlon Dual Core 4850e,1313,2029,33.67,$39.00*
AMD Athlon Dual Core 5000B,1304,2033,13.74,$95.00*
AMD Athlon Dual Core 5050e,1343,2014,22.39,$60.00*
AMD Athlon Dual Core 5200B,1316,2027,,
AMD Athlon Dual Core 5400B,1420,1978,,
AMD Athlon Dual Core 5600B,1304,2034,,
AMD Athlon II 160u,560,2445,18.68,$29.99*
AMD Athlon II 170u,627,2409,20.95,$29.95*
AMD Athlon II Dual-Core M300,1112,2145,,
AMD Athlon II Dual-Core M320,1141,2136,38.05,$30.00*
AMD Athlon II Dual-Core M340,1056,2181,,
AMD Athlon II N330 Dual-Core,1154,2127,,
AMD Athlon II N350 Dual-Core,1249,2074,,
AMD Athlon II N370 Dual-Core,1559,1915,,
AMD Athlon II Neo K125,473,2511,,
AMD Athlon II Neo K145,525,2464,,
AMD Athlon II Neo K325 Dual-Core,775,2339,29.84,$25.99*
AMD Athlon II Neo K345 Dual-Core,856,2302,,
AMD Athlon II Neo N36L Dual-Core,795,2332,,
AMD Athlon II P320 Dual-Core,1217,2088,40.66,$29.95*
AMD Athlon II P340 Dual-Core,1250,2072,27.83,$44.95*
AMD Athlon II P360 Dual-Core,1318,2026,54.93,$24.00*
AMD Athlon II X2 210e,1486,1950,,
AMD Athlon II X2 215,1568,1912,130.82,$11.99*
AMD Athlon II X2 220,1632,1880,50.73,$32.19
AMD Athlon II X2 225,1526,1926,,
AMD Athlon II X2 235e,1656,1868,9.11,$181.88*
AMD Athlon II X2 240,1642,1873,46.99,$34.95
AMD Athlon II X2 240e,1695,1844,48.52,$34.95*
AMD Athlon II X2 245,1661,1866,47.54,$34.95
AMD Athlon II X2 245e,1709,1833,21.37,$80.00*
AMD Athlon II X2 250,1742,1811,44.73,$38.95
AMD Athlon II X2 250e,1939,1717,25.28,$76.73*
AMD Athlon II X2 250u,1000,2212,28.64,$34.95
