processor_name,passmark,rank,value,price
Intel Atom Z520 @ 1.33GHz,217,2813,,
Intel Atom Z530 @ 1.60GHz,281,2744,,
Intel Atom Z540 @ 1.86GHz,348,2651,,
Intel Atom Z550 @ 2.00GHz,381,2612,,
Intel Atom Z670 @ 1.50GHz,243,2792,,
Intel Celeron 1.70GHz,130,2875,,
Intel Celeron 1.80GHz,136,2872,,
Intel Celeron 1000M @ 1.80GHz,1677,1852,,
Intel Celeron 1000MHz,213,2817,,
Intel Celeron 1005M @ 1.90GHz,1811,1784,,
Intel Celeron 1007U @ 1.50GHz,1389,1987,7.51,$184.99*
Intel Celeron 1017U @ 1.60GHz,1521,1928,,
Intel Celeron 1019Y @ 1.00GHz,946,2256,,
Intel Celeron 1020E @ 2.20GHz,2232,1598,,
Intel Celeron 1037U @ 1.80GHz,1736,1815,,
Intel Celeron 1047UE @ 1.40GHz,1188,2104,,
Intel Celeron 1066MHz,259,2770,,
Intel Celeron 1100MHz,174,2854,,
Intel Celeron 1133MHz,282,2739,,
Intel Celeron 1200MHz,244,2791,,
Intel Celeron 1300MHz,288,2728,,
Intel Celeron 1333MHz,290,2722,,
Intel Celeron 1400MHz,302,2702,,
Intel Celeron 2.00GHz,182,2848,,
Intel Celeron 2.10GHz,244,2790,,
Intel Celeron 2.13GHz,208,2823,,
Intel Celeron 2.20GHz,213,2818,,
Intel Celeron 2.26GHz,223,2807,,
Intel Celeron 2.30GHz,227,2804,,
Intel Celeron 2.40GHz,217,2814,,
Intel Celeron 2.50GHz,247,2784,,
Intel Celeron 2.53GHz,245,2788,,
Intel Celeron 2.60GHz,238,2795,,
Intel Celeron 2.66GHz,250,2781,,
Intel Celeron 2.70GHz,245,2789,,
Intel Celeron 2.80GHz,254,2774,,
Intel Celeron 2.93GHz,283,2737,,
Intel Celeron 2000E @ 2.20GHz,2365,1543,,
Intel Celeron 2002E @ 1.50GHz,1605,1894,18.67,$86.00*
Intel Celeron 215 @ 1.33GHz,322,2676,,
Intel Celeron 220 @ 1.20GHz,320,2678,,
Intel Celeron 2950M @ 2.00GHz,1984,1696,,
Intel Celeron 2955U @ 1.40GHz,1422,1977,,
Intel Celeron 2957U @ 1.40GHz,1435,1971,,
Intel Celeron 2961Y @ 1.10GHz,1110,2147,,
Intel Celeron 2970M @ 2.20GHz,2312,1557,,
Intel Celeron 2980U @ 1.60GHz,1593,1904,,
Intel Celeron 2981U @ 1.60GHz,1522,1927,,
Intel Celeron 3.06GHz,284,2733,,
Intel Celeron 3.20GHz,288,2726,,
Intel Celeron 3.33GHz,333,2668,,
Intel Celeron 3205U @ 1.50GHz,1499,1945,5.22,$287.04*
Intel Celeron 3215U @ 1.70GHz,1641,1874,,
Intel Celeron 3755U @ 1.70GHz,1702,1838,,
Intel Celeron 3765U @ 1.90GHz,1990,1692,,
Intel Celeron 3855U @ 1.60GHz,1680,1851,,
Intel Celeron 3865U @ 1.80GHz,1898,1739,,
Intel Celeron 3867U @ 1.80GHz,1843,1768,17.23,$107.00*
Intel Celeron 3955U @ 2.00GHz,1913,1731,,
Intel Celeron 3965U @ 2.20GHz,2346,1546,21.93,$107.00*
Intel Celeron 3965Y @ 1.50GHz,1629,1883,15.23,$107.00*
Intel Celeron 420 @ 1.60GHz,451,2533,11.29,$39.99*
Intel Celeron 4205U @ 1.80GHz,1953,1710,18.25,$107.00*
Intel Celeron 430 @ 1.80GHz,489,2491,9.11,$53.75
Intel Celeron 440 @ 2.00GHz,548,2449,9.14,$59.99
Intel Celeron 450 @ 2.20GHz,625,2411,20.86,$29.99*
Intel Celeron 530 @ 1.73GHz,470,2512,20.47,$22.99*
Intel Celeron 540 @ 1.86GHz,521,2469,,
Intel Celeron 550 @ 2.00GHz,517,2471,7.96,$64.95
Intel Celeron 560 @ 2.13GHz,535,2458,6.7,$79.95*
Intel Celeron 570 @ 2.26GHz,517,2470,,
Intel Celeron 600MHz,147,2868,,
Intel Celeron 723 @ 1.20GHz,405,2582,,
Intel Celeron 743 @ 1.30GHz,429,2559,,
Intel Celeron 807 @ 1.50GHz,751,2351,,
Intel Celeron 807UE @ 1.00GHz,369,2629,,
Intel Celeron 827E @ 1.40GHz,613,2416,,
Intel Celeron 847 @ 1.10GHz,934,2261,2.97,$315.00*
Intel Celeron 847E @ 1.10GHz,1021,2200,,
Intel Celeron 857 @ 1.20GHz,1146,2133,,
Intel Celeron 867 @ 1.30GHz,1173,2113,39.12,$29.99*
Intel Celeron 877 @ 1.40GHz,1290,2045,,
Intel Celeron 887 @ 1.50GHz,1280,2053,,
Intel Celeron 900 @ 2.20GHz,677,2388,23.38,$28.99
Intel Celeron 925 @ 2.30GHz,688,2381,,
Intel Celeron @ 1.30GHz,965,2236,,
Intel Celeron B710 @ 1.60GHz,186,2842,,
Intel Celeron B720 @ 1.70GHz,814,2323,,
Intel Celeron B800 @ 1.50GHz,1276,2056,,
Intel Celeron B810 @ 1.60GHz,1425,1974,,
Intel Celeron B815 @ 1.60GHz,1366,1999,,
Intel Celeron B820 @ 1.70GHz,1428,1973,36.35,$39.29*
Intel Celeron B830 @ 1.80GHz,1515,1937,,
Intel Celeron B840 @ 1.90GHz,1719,1823,,
Intel Celeron D 347 @ 3.06GHz,270,2759,,
Intel Celeron D 352 @ 3.20GHz,302,2703,,
Intel Celeron D 356 @ 3.33GHz,315,2684,,
Intel Celeron D 360 @ 3.46GHz,337,2664,,
Intel Celeron D 365 @ 3.60GHz,404,2583,4.5,$89.95*
Intel Celeron D 420 @ 1.60GHz,481,2504,,
Intel Celeron D 430 @ 1.80GHz,585,2431,,
Intel Celeron E1200 @ 1.60GHz,858,2300,7.8,$109.95*
Intel Celeron E1400 @ 2.00GHz,1048,2184,11.65,$89.95
Intel Celeron E1500 @ 2.20GHz,1169,2117,59.51,$19.65
Intel Celeron E1600 @ 2.40GHz,1255,2066,,
Intel Celeron E3200 @ 2.40GHz,1383,1990,26.62,$51.99*
Intel Celeron E3300 @ 2.50GHz,1386,1989,21.33,$64.99
Intel Celeron E3400 @ 2.60GHz,1439,1967,2.36,$610.00*
Intel Celeron E3500 @ 2.70GHz,1454,1960,36.37,$39.99*
Intel Celeron G1101 @ 2.27GHz,1667,1861,84.34,$19.77*
Intel Celeron G1610 @ 2.60GHz,2489,1496,52.97,$47.00
Intel Celeron G1610T @ 2.30GHz,2270,1581,56.72,$40.04*
Intel Celeron G1620 @ 2.70GHz,2577,1460,16.78,$153.59*
Intel Celeron G1620T @ 2.40GHz,2353,1545,56.03,$42.00*
Intel Celeron G1630 @ 2.80GHz,2493,1494,35.63,$69.99
Intel Celeron G1820 @ 2.70GHz,2755,1407,30.62,$89.99
Intel Celeron G1820T @ 2.40GHz,2496,1493,59.44,$42.00*
Intel Celeron G1820TE @ 2.20GHz,2132,1632,,
Intel Celeron G1830 @ 2.80GHz,2544,1474,26.8,$94.95
Intel Celeron G1840 @ 2.80GHz,2859,1371,48.53,$58.93
Intel Celeron G1840T @ 2.50GHz,2551,1471,,
Intel Celeron G1850 @ 2.90GHz,2909,1351,36.38,$79.99*
Intel Celeron G3900 @ 2.80GHz,3143,1275,55.19,$56.95
Intel Celeron G3900E @ 2.40GHz,2679,1428,,
Intel Celeron G3900T @ 2.60GHz,2925,1347,26.01,$112.46*
Intel Celeron G3900TE @ 2.30GHz,2591,1454,61.71,$42.00*
Intel Celeron G3920 @ 2.90GHz,3123,1279,29.19,$106.99
Intel Celeron G3930 @ 2.90GHz,3034,1308,59.3,$51.17*
Intel Celeron G3930T @ 2.70GHz,2766,1400,41.96,$65.93*
Intel Celeron G3950 @ 3.00GHz,3049,1306,42.82,$71.22*
Intel Celeron G440 @ 1.60GHz,694,2377,13.9,$49.99*
Intel Celeron G460 @ 1.80GHz,1035,2190,15.93,$65.00
Intel Celeron G465 @ 1.90GHz,1064,2175,10.64,$100.00*
Intel Celeron G470 @ 2.00GHz,1298,2038,,
Intel Celeron G4900 @ 3.10GHz,3270,1227,77.87,$42.00
Intel Celeron G4900T @ 2.90GHz,3096,1287,,
Intel Celeron G4920 @ 3.20GHz,3192,1252,47.66,$66.99
Intel Celeron G530 @ 2.40GHz,2132,1631,53.32,$39.99*
Intel Celeron G530T @ 2.00GHz,1717,1825,,
Intel Celeron G540 @ 2.50GHz,2195,1612,48.79,$45.00*
Intel Celeron G540T @ 2.10GHz,2114,1641,,
Intel Celeron G550 @ 2.60GHz,2290,1566,28.63,$80.00
Intel Celeron G550T @ 2.20GHz,2063,1664,,
Intel Celeron G555 @ 2.70GHz,2422,1517,60.57,$40.00*
Intel Celeron J1750 @ 2.41GHz,1037,2189,,
Intel Celeron J1800 @ 2.41GHz,1029,2194,,
Intel Celeron J1850 @ 1.99GHz,1617,1889,,
Intel Celeron J1900 @ 1.99GHz,1839,1773,,
Intel Celeron J3060 @ 1.60GHz,974,2231,,
Intel Celeron J3160 @ 1.60GHz,1794,1790,,
Intel Celeron J3355 @ 2.00GHz,1194,2100,,
Intel Celeron J3455 @ 1.50GHz,2118,1640,5.72,$369.99*
Intel Celeron J4005 @ 2.00GHz,1541,1921,10.97,$140.51*
Intel Celeron J4105 @ 1.50GHz,2633,1440,24.61,$107.00*
Intel Celeron M 1.00GHz,207,2824,16.6,$12.49
Intel Celeron M 1.30GHz,316,2683,,
Intel Celeron M 1.50GHz,343,2659,,
Intel Celeron M 1.60GHz,364,2638,,
Intel Celeron M 1.70GHz,393,2604,,
Intel Celeron M 1200MHz,275,2754,,
Intel Celeron M 1300MHz,303,2699,,
Intel Celeron M 1500MHz,333,2669,,
Intel Celeron M 360 1.40GHz,328,2672,,
Intel Celeron M 410 @ 1.46GHz,315,2685,,
Intel Celeron M 420 @ 1.60GHz,339,2661,,
Intel Celeron M 430 @ 1.73GHz,368,2631,,
Intel Celeron M 440 @ 1.86GHz,397,2595,,
Intel Celeron M 443 @ 1.20GHz,253,2776,,
Intel Celeron M 450 @ 2.00GHz,450,2535,,
Intel Celeron M 520 @ 1.60GHz,431,2557,,
Intel Celeron M 530 @ 1.73GHz,462,2520,,
Intel Celeron M 540 @ 1.86GHz,542,2453,,
Intel Celeron M 600MHz,151,2866,,
Intel Celeron M 723 @ 1.20GHz,457,2528,,
Intel Celeron M 900MHz,204,2826,,
Intel Celeron M ULV 800MHz,184,2846,,
Intel Celeron N2805 @ 1.46GHz,461,2525,,
Intel Celeron N2806 @ 1.60GHz,791,2335,,
Intel Celeron N2807 @ 1.58GHz,855,2303,,
Intel Celeron N2808 @ 1.58GHz,908,2282,,
Intel Celeron N2810 @ 2.00GHz,787,2336,5.62,$139.99*
Intel Celeron N2815 @ 1.86GHz,852,2305,,
Intel Celeron N2820 @ 2.13GHz,923,2269,4.4,$209.99
Intel Celeron N2830 @ 2.16GHz,955,2248,,
Intel Celeron N2840 @ 2.16GHz,1002,2209,,
Intel Celeron N2910 @ 1.60GHz,1203,2096,,
Intel Celeron N2920 @ 1.86GHz,1500,1943,,
Intel Celeron N2930 @ 1.83GHz,1627,1885,,
Intel Celeron N2940 @ 1.83GHz,1730,1817,,
Intel Celeron N3000 @ 1.04GHz,909,2280,,
Intel Celeron N3010 @ 1.04GHz,964,2237,,
Intel Celeron N3050 @ 1.60GHz,877,2291,5.24,$167.41
Intel Celeron N3060 @ 1.60GHz,989,2224,,
Intel Celeron N3150 @ 1.60GHz,1656,1867,,
Intel Celeron N3160 @ 1.60GHz,1664,1863,5.38,$309.19
Intel Celeron N3350 @ 1.10GHz,1112,2146,,
Intel Celeron N3450 @ 1.10GHz,1842,1769,5.85,$314.99*
Intel Celeron N4000 @ 1.10GHz,1436,1968,13.43,$107.00*
Intel Celeron N4100 @ 1.10GHz,2281,1572,21.32,$107.00*
Intel Celeron P4500 @ 1.87GHz,1119,2139,,
Intel Celeron P4505 @ 1.87GHz,994,2220,,
Intel Celeron P4600 @ 2.00GHz,1344,2013,,
Intel Celeron SU2300 @ 1.20GHz,771,2340,,
Intel Celeron T1600 @ 1.66GHz,950,2251,47.53,$19.99*
Intel Celeron T1700 @ 1.83GHz,1058,2180,35.29,$29.99*
Intel Celeron U1900 @ 1.99GHz,1704,1837,,
Intel Celeron U3400 @ 1.07GHz,721,2362,,
Intel Celeron U3405 @ 1.07GHz,684,2382,,
Intel Celeron U3600 @ 1.20GHz,809,2328,,
Intel Core 330 @ 1.60GHz,643,2402,,
Intel Core 860 @ 2.80GHz,4555,936,26.96,$169.00
Intel Core Duo L2300 @ 1.50GHz,719,2365,,
Intel Core Duo L2400 @ 1.66GHz,705,2373,,
Intel Core Duo L2500 @ 1.83GHz,747,2352,,
Intel Core Duo T2050 @ 1.60GHz,694,2378,,
Intel Core Duo T2250 @ 1.73GHz,756,2349,,
Intel Core Duo T2300 @ 1.66GHz,727,2360,,
Intel Core Duo T2350 @ 1.86GHz,761,2344,,
Intel Core Duo T2400 @ 1.83GHz,795,2331,49.7,$16.00*
Intel Core Duo T2450 @ 2.00GHz,825,2318,,
Intel Core Duo T2500 @ 2.00GHz,867,2295,7.23,$119.99*
Intel Core Duo T2600 @ 2.16GHz,944,2259,,
Intel Core Duo T2700 @ 2.33GHz,1024,2198,,
Intel Core Duo U2400 @ 1.06GHz,544,2451,,
Intel Core Duo U2500 @ 1.20GHz,511,2477,,
Intel Core i3-2100 @ 3.10GHz,3689,1125,67.09,$54.99
Intel Core i3-2100T @ 2.50GHz,2962,1333,49.39,$59.99*
Intel Core i3-2102 @ 3.10GHz,3736,1112,64.41,$58.00*
Intel Core i3-2105 @ 3.10GHz,3710,1118,32.27,$114.99*
Intel Core i3-21050 @ 3.10GHz,3862,1075,,
Intel Core i3-2120 @ 3.30GHz,3929,1065,56.14,$69.99
Intel Core i3-2120T @ 2.60GHz,3164,1265,19.78,$160.00*
Intel Core i3-2125 @ 3.30GHz,4005,1044,19.35,$207.00*
Intel Core i3-2130 @ 3.40GHz,4071,1032,35.4,$114.99
Intel Core i3-2140 @ 3.50GHz,4325,986,,
Intel Core i3-2310E @ 2.10GHz,2839,1373,12.62,$225.00*
Intel Core i3-2310M @ 2.10GHz,2432,1514,54.06,$44.99
Intel Core i3-2312M @ 2.10GHz,2374,1537,,
Intel Core i3-2328M @ 2.20GHz,2545,1472,27.38,$92.97*
Intel Core i3-2330E @ 2.20GHz,3073,1295,,
Intel Core i3-2330M @ 2.20GHz,2524,1478,50.55,$49.95
Intel Core i3-2332M @ 2.20GHz,2382,1534,,
Intel Core i3-2340UE @ 1.30GHz,1719,1822,,
Intel Core i3-2348M @ 2.30GHz,2620,1444,,
Intel Core i3-2350M @ 2.30GHz,2627,1442,18.77,$139.95*
Intel Core i3-2357M @ 1.30GHz,1556,1916,,
Intel Core i3-2365M @ 1.40GHz,1676,1853,,
Intel Core i3-2367M @ 1.40GHz,1707,1834,,
Intel Core i3-2370M @ 2.40GHz,2777,1396,69.77,$39.81
Intel Core i3-2375M @ 1.50GHz,1776,1796,,
Intel Core i3-2377M @ 1.50GHz,1828,1779,,
Intel Core i3-3110M @ 2.40GHz,3083,1292,38.56,$79.95*
Intel Core i3-3120M @ 2.50GHz,3223,1243,29.31,$110.00*
Intel Core i3-3130M @ 2.60GHz,3390,1197,,
Intel Core i3-3210 @ 3.20GHz,4040,1037,13.79,$293.00
Intel Core i3-3217U @ 1.80GHz,2301,1563,10.01,$229.99*
Intel Core i3-3217UE @ 1.60GHz,2162,1622,,
Intel Core i3-3220 @ 3.30GHz,4244,1001,53.73,$79.00
Intel Core i3-3220T @ 2.80GHz,3693,1122,27.36,$135.00
Intel Core i3-3225 @ 3.30GHz,4343,982,13.37,$324.99
Intel Core i3-3227U @ 1.90GHz,2467,1503,,
Intel Core i3-3229Y @ 1.40GHz,1700,1840,,
Intel Core i3-3240 @ 3.40GHz,4317,988,86.34,$50.00
Intel Core i3-3240T @ 2.90GHz,3655,1131,,
Intel Core i3-3245 @ 3.40GHz,4444,960,24.83,$179.01
Intel Core i3-3250 @ 3.50GHz,4447,957,46.82,$94.99*
Intel Core i3-3250T @ 3.00GHz,3614,1136,,
Intel Core i3-330E @ 2.13GHz,1935,1719,,
Intel Core i3-330M @ 2.13GHz,1787,1793,11.17,$159.95*
Intel Core i3-330UM @ 1.20GHz,1075,2173,,
Intel Core i3-350M @ 2.27GHz,1891,1744,17.37,$108.95*
Intel Core i3-370M @ 2.40GHz,2014,1683,50.42,$39.96*
Intel Core i3-380M @ 2.53GHz,2092,1650,9.97,$209.95*
Intel Core i3-380UM @ 1.33GHz,1160,2123,,
Intel Core i3-390M @ 2.67GHz,2183,1615,56.06,$38.95*
Intel Core i3-4000M @ 2.40GHz,3255,1231,16.28,$199.95*
Intel Core i3-4005U @ 1.70GHz,2444,1510,,
Intel Core i3-4010U @ 1.70GHz,2439,1511,8.44,$289.00
Intel Core i3-4010Y @ 1.30GHz,1900,1738,,
Intel Core i3-4012Y @ 1.50GHz,2164,1621,,
Intel Core i3-4020Y @ 1.50GHz,2213,1605,,
Intel Core i3-4025U @ 1.90GHz,2787,1394,,
Intel Core i3-4030U @ 1.90GHz,2719,1417,,
Intel Core i3-4030Y @ 1.60GHz,2507,1489,,
Intel Core i3-4100M @ 2.50GHz,3428,1186,15.69,$218.57*
Intel Core i3-4110M @ 2.60GHz,3873,1071,,
Intel Core i3-4110U @ 1.90GHz,2902,1360,,
Intel Core i3-4120U @ 2.00GHz,3050,1305,,
Intel Core i3-4130 @ 3.40GHz,4803,891,53.38,$90.00
Intel Core i3-4130T @ 2.90GHz,4144,1022,46.57,$88.99*
Intel Core i3-4150 @ 3.50GHz,4898,873,49.48,$99.00
Intel Core i3-4150T @ 3.00GHz,4229,1003,18.39,$229.95*
Intel Core i3-4158U @ 2.00GHz,2914,1348,,
Intel Core i3-4160 @ 3.60GHz,5053,840,46.36,$109.00
Intel Core i3-4160T @ 3.10GHz,4445,959,29.64,$149.99*
Intel Core i3-4170 @ 3.70GHz,5192,813,19.97,$259.95
Intel Core i3-4170T @ 3.20GHz,4545,941,21.65,$209.95*
Intel Core i3-4330 @ 3.50GHz,5085,826,32.46,$156.70
Intel Core i3-4330T @ 3.00GHz,4485,954,,
Intel Core i3-4330TE @ 2.40GHz,3201,1247,,
Intel Core i3-4340 @ 3.60GHz,5242,807,27.6,$189.99
Intel Core i3-4350 @ 3.60GHz,4990,854,29.36,$169.99*
Intel Core i3-4350T @ 3.10GHz,4302,993,,
Intel Core i3-4360 @ 3.70GHz,5461,773,21.09,$259.00
Intel Core i3-4360T @ 3.20GHz,4636,918,,
Intel Core i3-4370 @ 3.80GHz,5613,753,18.17,$309.00*
Intel Core i3-4370T @ 3.30GHz,4870,875,35.29,$138.00*
Intel Core i3-4570T @ 2.90GHz,4934,866,,
Intel Core i3-5005U @ 2.00GHz,2907,1354,,
Intel Core i3-5010U @ 2.10GHz,3055,1301,9.05,$337.76*
Intel Core i3-5015U @ 2.10GHz,3006,1318,,
Intel Core i3-5020U @ 2.20GHz,3197,1250,6.97,$459.00*
Intel Core i3-5157U @ 2.50GHz,3663,1129,,
Intel Core i3-530 @ 2.93GHz,2566,1466,13.58,$189.00*
Intel Core i3-540 @ 3.07GHz,2688,1426,23.68,$113.55
Intel Core i3-550 @ 3.20GHz,2829,1377,16.1,$175.74
Intel Core i3-560 @ 3.33GHz,2934,1341,16.31,$179.95*
Intel Core i3-6006U @ 2.00GHz,3083,1291,,
Intel Core i3-6098P @ 3.60GHz,5408,778,40.44,$133.74*
Intel Core i3-6100 @ 3.70GHz,5482,765,44.86,$122.22
Intel Core i3-6100E @ 2.70GHz,3769,1099,,
Intel Core i3-6100H @ 2.70GHz,4222,1006,,
Intel Core i3-6100T @ 3.20GHz,4850,883,35.94,$134.99*
Intel Core i3-6100TE @ 2.70GHz,4304,991,,
Intel Core i3-6100U @ 2.30GHz,3603,1139,7.0,$515.00*
Intel Core i3-6157U @ 2.40GHz,3835,1083,,
Intel Core i3-6300 @ 3.80GHz,5844,726,34.32,$170.30
Intel Core i3-6300T @ 3.30GHz,5247,805,33.86,$154.99*
Intel Core i3-6320 @ 3.90GHz,6047,705,14.79,$408.99
Intel Core i3-7020U @ 2.30GHz,3518,1164,12.52,$281.00*
Intel Core i3-7100 @ 3.90GHz,5785,730,38.98,$148.41
Intel Core i3-7100H @ 3.00GHz,4627,922,20.57,$225.00*
Intel Core i3-7100T @ 3.40GHz,5054,839,34.73,$145.53
Intel Core i3-7100U @ 2.40GHz,3767,1100,9.9,$380.64*
Intel Core i3-7101TE @ 3.40GHz,5189,814,44.36,$117.00*
Intel Core i3-7102E @ 2.10GHz,3266,1228,14.52,$225.00*
Intel Core i3-7130U @ 2.70GHz,4055,1034,14.43,$281.00*
Intel Core i3-7167U @ 2.80GHz,4757,898,,
Intel Core i3-7300 @ 4.00GHz,6356,674,36.99,$171.84*
Intel Core i3-7300T @ 3.50GHz,5369,787,29.57,$181.59*
Intel Core i3-7320 @ 4.10GHz,6417,666,35.12,$182.72*
Intel Core i3-7350K @ 4.20GHz,6600,650,40.8,$161.77
Intel Core i3-8100 @ 3.60GHz,8031,508,55.14,$145.67
Intel Core i3-8100B @ 3.60GHz,8473,462,63.71,$133.00*
Intel Core i3-8100T @ 3.10GHz,7382,576,51.0,$144.76
Intel Core i3-8109U @ 3.00GHz,6183,688,,
Intel Core i3-8121U @ 2.20GHz,4802,893,,
Intel Core i3-8130U @ 2.20GHz,5041,844,17.94,$281.00*
Intel Core i3-8145U @ 2.10GHz,5438,774,19.35,$281.00*
Intel Core i3-8300 @ 3.70GHz,8690,450,45.64,$190.43
Intel Core i3-8300T @ 3.20GHz,8032,507,47.11,$170.49*
Intel Core i3-8350K @ 4.00GHz,9218,394,49.83,$184.99
Intel Core i3-9100 @ 3.60GHz,9158,399,70.46,$129.99
Intel Core i3-9100F @ 3.60GHz,9001,419,85.74,$104.99
Intel Core i3-9100T @ 3.10GHz,7689,539,63.03,$122.00*
Intel Core i3-9350KF @ 4.00GHz,10458,289,46.86,$223.19
Intel Core i5 750S @ 2.40GHz,2197,1611,21.97,$99.99*
Intel Core i5 E 520 @ 2.40GHz,2486,1498,,
Intel Core i5-2300 @ 2.80GHz,5361,789,67.03,$79.99*
Intel Core i5-2310 @ 2.90GHz,5534,760,29.7,$186.33*
Intel Core i5-2320 @ 3.00GHz,5767,733,36.05,$160.00*
Intel Core i5-2380P @ 3.10GHz,5749,735,31.94,$180.00*
Intel Core i5-2390T @ 2.70GHz,4227,1004,42.32,$99.90*
Intel Core i5-2400 @ 3.10GHz,5968,709,86.5,$69.00
Intel Core i5-2400S @ 2.50GHz,4985,856,14.67,$339.95*
Intel Core i5-24050S @ 2.50GHz,4928,867,,
Intel Core i5-2405S @ 2.50GHz,5082,828,24.44,$208.00*
Intel Core i5-2410M @ 2.30GHz,3167,1263,40.57,$78.07
Intel Core i5-2415M @ 2.30GHz,3299,1222,,
Intel Core i5-2430M @ 2.40GHz,3286,1225,36.88,$89.11*
Intel Core i5-2435M @ 2.40GHz,3227,1241,,
Intel Core i5-2450M @ 2.50GHz,3401,1191,38.64,$88.02*
Intel Core i5-2450P @ 3.20GHz,6132,695,68.14,$89.99*
Intel Core i5-2467M @ 1.60GHz,2321,1552,,
Intel Core i5-2500 @ 3.30GHz,6342,675,115.2,$55.06
Intel Core i5-2500K @ 3.30GHz,6478,659,14.92,$434.26*
Intel Core i5-2500S @ 2.70GHz,5371,786,71.63,$74.99*
Intel Core i5-2500T @ 2.30GHz,4639,916,,
Intel Core i5-2510E @ 2.50GHz,3483,1173,,
Intel Core i5-2515E @ 2.50GHz,3313,1220,,
Intel Core i5-2520M @ 2.50GHz,3592,1142,21.18,$169.60*
Intel Core i5-2537M @ 1.40GHz,2081,1656,,
Intel Core i5-2540M @ 2.60GHz,3785,1096,65.25,$58.02*
Intel Core i5-2550K @ 3.40GHz,6668,642,35.1,$190.00*
Intel Core i5-2557M @ 1.70GHz,2693,1424,,
Intel Core i5-2560M @ 2.70GHz,3752,1107,,
Intel Core i5-3210M @ 2.50GHz,3828,1085,51.72,$74.02*
Intel Core i5-3230M @ 2.60GHz,3940,1064,17.38,$226.77*
Intel Core i5-3317U @ 1.70GHz,3091,1288,13.74,$225.00*
Intel Core i5-3320M @ 2.60GHz,4128,1025,39.66,$104.10*
Intel Core i5-3330 @ 3.00GHz,5946,712,29.29,$202.99
Intel Core i5-3330S @ 2.70GHz,5683,741,59.83,$94.99*
Intel Core i5-3335S @ 2.70GHz,5788,729,,
Intel Core i5-3337U @ 1.80GHz,3228,1240,14.35,$225.00*
Intel Core i5-3339Y @ 1.50GHz,2215,1604,,
Intel Core i5-3340 @ 3.10GHz,6096,700,20.81,$293.01*
Intel Core i5-3340M @ 2.70GHz,4246,1000,53.12,$79.95*
Intel Core i5-3340S @ 2.80GHz,5846,724,38.98,$149.99*
Intel Core i5-3350P @ 3.10GHz,6149,691,41.0,$149.99*
Intel Core i5-3360M @ 2.80GHz,4434,963,47.78,$92.81*
Intel Core i5-3380M @ 2.90GHz,4438,961,,
Intel Core i5-3427U @ 1.80GHz,3544,1156,8.44,$420.05*
Intel Core i5-3437U @ 1.90GHz,3640,1133,,
Intel Core i5-3439Y @ 1.50GHz,2930,1344,,
Intel Core i5-3450 @ 3.10GHz,6538,655,25.78,$253.59*
Intel Core i5-3450S @ 2.80GHz,6223,682,41.77,$149.00*
Intel Core i5-3470 @ 3.20GHz,6717,639,75.48,$89.00
Intel Core i5-3470S @ 2.90GHz,6373,672,71.62,$89.00
Intel Core i5-3470T @ 2.90GHz,4483,955,14.51,$308.95*
Intel Core i5-3475S @ 2.90GHz,6609,648,46.06,$143.50*
Intel Core i5-3550 @ 3.30GHz,6958,611,20.47,$339.95
Intel Core i5-3550S @ 3.00GHz,6910,619,20.95,$329.95*
Intel Core i5-3570 @ 3.40GHz,7131,596,75.08,$94.99
Intel Core i5-3570K @ 3.40GHz,7176,593,21.11,$339.99
Intel Core i5-3570S @ 3.10GHz,6746,635,23.67,$285.00*
Intel Core i5-3570T @ 2.30GHz,5914,716,,
Intel Core i5-3610ME @ 2.70GHz,3898,1069,,
Intel Core i5-4200H @ 2.80GHz,4445,958,,
Intel Core i5-4200M @ 2.50GHz,4035,1038,49.75,$81.12*
Intel Core i5-4200U @ 1.60GHz,3294,1224,,
Intel Core i5-4200Y @ 1.40GHz,2407,1523,,
Intel Core i5-4202Y @ 1.60GHz,2265,1583,,
Intel Core i5-4210H @ 2.90GHz,4530,945,,
Intel Core i5-4210M @ 2.60GHz,4199,1010,13.55,$309.95*
Intel Core i5-4210U @ 1.70GHz,3405,1190,,
Intel Core i5-4210Y @ 1.50GHz,2378,1535,,
Intel Core i5-4220Y @ 1.60GHz,2307,1560,,
Intel Core i5-4230U @ 1.90GHz,2902,1359,,
Intel Core i5-4250U @ 1.30GHz,3452,1181,9.62,$359.00
Intel Core i5-4258U @ 2.40GHz,4082,1031,,
Intel Core i5-4260U @ 1.40GHz,3571,1149,,
Intel Core i5-4278U @ 2.60GHz,4367,977,,
Intel Core i5-4288U @ 2.60GHz,4304,992,,
Intel Core i5-4300M @ 2.60GHz,4426,965,,
Intel Core i5-4300U @ 1.90GHz,3743,1110,,
Intel Core i5-4300Y @ 1.60GHz,2502,1491,,
Intel Core i5-4302Y @ 1.60GHz,2971,1328,,
Intel Core i5-4308U @ 2.80GHz,4219,1007,,
Intel Core i5-430M @ 2.27GHz,2095,1649,14.97,$139.95*
Intel Core i5-430UM @ 1.20GHz,1341,2017,,
Intel Core i5-4310M @ 2.70GHz,4644,914,,
Intel Core i5-4310U @ 2.00GHz,3761,1104,,
Intel Core i5-4330M @ 2.80GHz,4547,940,16.54,$274.99*
Intel Core i5-4340M @ 2.90GHz,4853,881,,
Intel Core i5-4350U @ 1.40GHz,3610,1137,,
